City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Kushmurun,KZ,2022-05-22 04:43:32,52.4503,64.6311,45.25,71,98,10.2
223,Zaliztsi,UA,2022-05-22 04:43:33,49.7919,25.373,50.14,83,34,20.18
224,Talnakh,RU,2022-05-22 04:34:15,69.4865,88.3972,47.21,86,99,6.8
225,Zhaotong,CN,2022-05-22 04:39:10,27.3167,103.7167,51.78,87,100,2.84
226,Arlit,NE,2022-05-22 04:35:36,18.7369,7.3853,80.69,17,18,2.44
227,Ierapetra,GR,2022-05-22 04:43:34,35.01,25.7353,69.15,49,77,14.0
228,Sao Raimundo Nonato,BR,2022-05-22 04:43:35,-9.0153,-42.6994,68.27,84,19,3.18
229,Waingapu,ID,2022-05-22 04:43:35,-9.6567,120.2641,86.41,59,12,12.97
230,Palaikastron,GR,2022-05-22 04:43:36,35.2,26.25,66.33,66,54,17.4
231,Dragoman,BG,2022-05-22 04:43:36,42.9189,22.9317,64.02,75,48,3.78
232,Puerto Madryn,AR,2022-05-22 04:43:37,-42.7692,-65.0385,57.06,48,88,15.77
233,Nuuk,GL,2022-05-22 04:43:37,64.1835,-51.7216,43.41,81,75,33.38
234,Hambantota,LK,2022-05-22 04:43:38,6.1241,81.1185,86.34,79,20,14.97
235,Longyearbyen,SJ,2022-05-22 04:38:47,78.2186,15.6401,35.44,80,75,5.75
236,Ulaanbaatar,MN,2022-05-22 04:43:38,47.9077,106.8832,68.13,22,0,15.66
237,Shingu,JP,2022-05-22 04:43:39,33.7333,135.9833,73.36,61,50,6.08
238,Puerto Triunfo,CO,2022-05-22 04:43:39,5.8726,-74.6403,73.56,92,36,0.69
239,Peniche,PT,2022-05-22 04:43:40,39.3558,-9.3811,63.1,96,100,12.37
240,Otavi,NA,2022-05-22 04:43:40,-19.65,17.3333,41.81,47,0,10.27
241,Sant Julia De Loria,AD,2022-05-22 04:43:41,42.4625,1.4825,61.99,42,89,2.71
242,Kiruna,SE,2022-05-22 04:41:11,67.8557,20.2251,47.32,71,100,2.3
243,Douglas,US,2022-05-22 04:40:30,41.3,-96.167,48.02,62,0,4.61
244,Jiazi,CN,2022-05-22 04:42:55,22.8779,116.067,75.69,81,100,14.38
245,Rio Grande,BR,2022-05-22 04:43:42,-32.035,-52.0986,54.05,82,100,6.13
246,Nagua,DO,2022-05-22 04:43:43,19.3832,-69.8474,75.61,89,93,6.69
247,Nazas,MX,2022-05-22 04:43:43,25.2333,-104.1333,76.42,12,1,3.24
248,Kosa,RU,2022-05-22 04:43:44,59.9445,54.9977,33.89,97,100,7.16
249,Bulawayo,ZW,2022-05-22 04:43:44,-20.15,28.5833,46.18,41,1,2.59
250,Turayf,SA,2022-05-22 04:43:45,31.6725,38.6637,73.65,20,0,17.27
251,Pangnirtung,CA,2022-05-22 04:35:27,66.1451,-65.7125,28.17,82,100,8.23
252,Awbari,LY,2022-05-22 04:43:45,26.5921,12.7805,66.74,19,0,8.86
