City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
651,Shihezi,CN,78.15,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
655,Akyab,MM,84.47,scattered clouds,20.15,92.9,Hotel Memory
659,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
660,Colon,PA,81.1,broken clouds,9.3592,-79.9014,Sand Diamond Hotel
663,Baikunthpur,IN,87.01,clear sky,23.25,82.55,Hotel Shree Annapurna
665,Karachi,PK,85.82,haze,24.9056,67.0822,Sadaat
669,Kutum,SD,89.17,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
672,Kinkala,CG,76.66,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
673,Sumenep,ID,81.0,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
676,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
677,Rive-De-Gier,FR,82.33,overcast clouds,45.5307,4.6213,B&B Ebeniste
680,Palauig,PH,81.46,light rain,15.435,119.9045,Alperi Botique Resort
685,Beterou,BJ,86.27,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
690,Sulangan,PH,82.45,overcast clouds,11.1373,123.7228,Maia's Beach Resort
694,Tual,ID,83.07,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
704,Bullas,ES,87.39,overcast clouds,38.0467,-1.6723,Hotel SG
707,Cockburn Town,TC,79.61,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
711,Karratha,AU,78.26,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
713,Benguela,AO,76.59,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
716,Marica,BR,76.95,clear sky,-22.9194,-42.8186,Marica Hills
718,Riachao,BR,80.65,overcast clouds,-7.3619,-46.6172,Pousada Nordestina
719,West Bay,KY,86.07,haze,19.3667,-81.4167,Calypso Cove
721,Kieta,PG,78.78,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
725,Bonthe,SL,82.87,moderate rain,7.5264,-12.505,Bonthe Holiday Village
727,Barra Do Garcas,BR,85.62,clear sky,-15.89,-52.2567,Pousada Tropical
729,Djambala,CG,76.46,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
731,Le Passage,FR,87.94,overcast clouds,44.2014,0.6028,Appart'City Agen Centre - Appart Hôtel
735,Luganville,VU,77.52,few clouds,-15.5333,167.1667,The Espiritu Hotel
741,Totness,SR,77.32,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
747,Pardina,RO,75.79,broken clouds,45.3064,28.9569,Dunay
749,Macaparana,BR,82.98,broken clouds,-7.5547,-35.4531,Hotel Martins
750,Kadhan,PK,84.58,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
757,Gwadar,PK,85.21,clear sky,25.1216,62.3254,Sadaf Resort
760,Santa Isabel Do Rio Negro,BR,77.67,overcast clouds,-0.4139,-65.0192,Hotel GSA
765,Mazara Del Vallo,IT,81.93,clear sky,37.6641,12.588,Vizier Resort & Spa
768,Taiobeiras,BR,80.78,clear sky,-15.8078,-42.2331,Dallas Hotel
775,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
778,Kimbe,PG,75.87,light rain,-5.5502,150.1429,Kimbe Bay Hotel
779,Urucara,BR,86.27,clear sky,-2.5364,-57.76,Pousada Maria Bonita
785,Crixas,BR,87.82,clear sky,-14.5489,-49.9692,RISO HOTEL
786,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Novotel Dakar
788,Erba,IT,84.16,overcast clouds,45.8096,9.2312,Hotel Leonardo Da Vinci
792,Brewster,US,87.44,few clouds,41.3973,-73.6171,Heidi's Inn
801,Vaitape,PF,80.76,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
803,Amalapuram,IN,84.58,few clouds,16.5833,82.0167,swayamprabha service apartments
806,Sohag,EG,84.49,clear sky,26.557,31.6948,Civil Registry - Sohag 1
813,Pontes E Lacerda,BR,87.51,broken clouds,-15.2261,-59.3353,Hotel Bressan
815,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
822,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
824,Siniscola,IT,81.95,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
830,Point Pedro,LK,84.06,overcast clouds,9.8167,80.2333,Gtr homes
834,Marovoay,MG,79.68,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
845,Bolama,GW,81.75,broken clouds,11.5833,-15.4667,Hotel Samaritana
856,Asyut,EG,84.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
860,Majene,ID,78.66,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
861,Batouri,CM,79.25,broken clouds,4.4333,14.3667,Hotel Hollywood
863,Mangrol,IN,84.2,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
865,Veraval,IN,84.81,overcast clouds,20.9,70.3667,Lords Inn Somnath
870,Nueva Gerona,CU,86.16,overcast clouds,21.8833,-82.8,Casa de la Alegria
874,Solano,US,77.32,clear sky,38.2333,-121.9511,Westwind Inn
886,Pathein,MM,81.3,light rain,16.7833,94.7333,Pathein Hotel
888,Alugan,PH,79.86,overcast clouds,12.2188,125.4808,JM Lodge
889,Mawlaik,MM,80.74,broken clouds,23.6333,94.4167,AKZ Guest House
896,Manggar,ID,82.51,overcast clouds,-2.8833,108.2667,Guest Hotel
898,Hirara,JP,76.08,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
903,Narasapur,IN,88.75,scattered clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
904,Tautira,PF,79.18,scattered clouds,-17.7333,-149.15,Pension Oaoa
906,Palmas Bellas,PA,81.0,broken clouds,9.2319,-80.0867,Antigua Residencia Galván
911,Cedral,MX,84.58,clear sky,23.8,-100.7333,Hotel Rocio
913,Mana,GF,80.87,broken clouds,5.6592,-53.7767,LE SAMANA
914,Camopi,GF,85.78,overcast clouds,3.1655,-52.3158,La pousada
917,Neiafu,TO,79.95,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
922,Methoni,GR,78.66,clear sky,36.8197,21.7049,Methoni Beach Hotel
928,Cape Coast,GH,75.87,overcast clouds,5.1053,-1.2466,Samrit Hotel
933,Pangkalanbuun,ID,75.31,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
936,Puri,IN,81.12,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
937,La Union,PE,81.66,clear sky,-5.4,-80.75,Los Portales
938,Kudahuvadhoo,MV,83.86,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
939,Tonneins,FR,88.02,overcast clouds,44.3921,0.3124,Hôtel Des Fleurs SARL FLOWERS
940,Agadir,MA,79.25,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
944,Qurayyat,SA,77.18,sand,31.3318,37.3428,Resorts Kandel
947,Jalu,LY,82.15,clear sky,29.0331,21.5482,صاحبة الفخامة
948,Razole,IN,86.11,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
949,Galle,LK,80.4,few clouds,6.0367,80.217,Amangalla
953,Santo Antonio Do Leverger,BR,84.58,few clouds,-15.8656,-56.0767,Chácara Do SINETRAN
954,Ler,SS,82.36,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
960,La Libertad,EC,76.66,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
964,Morondava,MG,76.89,clear sky,-20.2833,44.2833,La Case Bambou
969,Port Moresby,PG,80.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
978,Pandan,PH,79.12,overcast clouds,14.0453,124.1694,Bonifacio Lodge
981,Lhokseumawe,ID,79.7,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
983,Batticaloa,LK,83.21,scattered clouds,7.7102,81.6924,Grand Star Guest House
984,Malindi,KE,82.56,few clouds,-3.2175,40.1191,African House Resort
986,Phoenixville,US,89.4,few clouds,40.1304,-75.5149,Mainstay Inn
